Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise,Earnings Per Share – Coefficient of Variation,Market Capitalization,Revenue - Actual,Enterprise Value,Number of Analysts,Recommendation - Mean (1-5),Recommendation - Mean (1-5),"WACC Inflation Adjusted Risk Free Rate, (%)",Net Income after Tax,Price Target - Mean,Price Close,Enterprise Value To Sales (Daily Time Series Ratio)
POOL.OQ,2022-10-20 07:00:00,4.78,4.5875,4.196,3.84370572207084,12598134372.3,1615339000.0,14061600372.3,10,2.27273,2.2,3.747421,189965000.0,360.11111,318.21,2.38392625108762
POOL.OQ,2022-07-21 07:00:00,7.63,7.517,1.503,3.62524943461487,14057953705.29,2055818000.0,15561870705.29,9,2.2,2.0,3.092855,307205000.0,435.375,351.23,2.74948113307899
POOL.OQ,2022-04-21 07:00:00,4.23,3.14867,34.342,6.63073615208961,16967115034.2,1412650000.0,18436823034.2,9,2.0,2.3,2.325202,179203000.0,519.88889,422.85,3.42287979136574
POOL.OQ,2022-02-17 07:00:00,2.63,1.875,40.267,3.26986666666667,22689791586.0,1035557000.0,23848820586.0,8,2.3,2.3,1.515266,107542000.0,571.0,566.0,4.504381806
POOL.OQ,2021-10-21 07:00:00,4.51,3.84833,17.194,2.83629522416217,17420199822.66,1411448000.0,17699543822.66,8,2.3,2.3,1.527139,184573000.0,545.28571,434.41,3.684400307
CHRW.OQ,2022-11-02 07:30:00,1.78,2.17217,-18.054,6.36782572266443,11931200526.69,6015376000.0,14035211526.69,25,2.82143,2.66667,3.747421,225798000.0,100.16667,96.31,0.531262544856095
CHRW.OQ,2022-07-27 16:05:00,2.67,1.98348,34.612,7.40718333434166,12900970335.09,6798475000.0,14984460335.09,23,2.66667,2.53846,3.092855,348185000.0,108.81818,101.37,0.59287730812804
CHRW.OQ,2022-04-27 16:05:00,2.05,1.54441,32.737,7.1269934797107,13855820539.47,6815953000.0,15844502539.47,23,2.53846,2.5,2.325202,270348000.0,105.57143,107.71,0.67625275805512
CHRW.OQ,2022-02-02 07:30:00,1.74,1.85448,-6.173,5.17665329364566,13990550535.06,6501848000.0,15757614535.06,23,2.5,2.79167,1.515266,230098000.0,106.66667,107.63,0.736680359
CHRW.OQ,2021-10-26 16:05:00,1.85,1.4209,30.199,5.19318741642621,11458921902.0,6263695000.0,13048970902.0,22,2.79167,2.83333,1.527139,247053000.0,102.1,87.0,0.665567199
AJG.N,2022-10-27 16:15:00,1.72,1.66453,3.333,1.60886256180423,36100024800.0,2013000000.0,41849224800.0,15,2.05882,2.0625,3.747421,256300000.0,201.0,171.22,4.89896903087598
AJG.N,2022-07-28 16:15:00,1.7,1.67967,1.21,3.09465549780612,34293181440.0,2005300000.0,40271381440.0,15,2.0625,2.25,3.092855,285100000.0,192.46154,163.04,4.71745243817588
AJG.N,2022-04-28 16:15:00,2.81,2.73567,2.717,3.76982603895938,36677872800.0,2380300000.0,42387272800.0,15,2.25,2.2,2.325202,439100000.0,186.53846,174.6,5.19046127609813
AJG.N,2022-01-27 16:15:00,0.98,0.94143,4.097,4.680114294212,35168858260.0,1941400000.0,41101558260.0,14,2.2,2.23077,1.515266,120900000.0,181.91667,169.67,4.784473919
AJG.N,2021-10-27 16:15:00,1.33,1.21385,9.569,2.45087943320839,30811874700.0,1743400000.0,33633174700.0,13,2.23077,2.23077,1.527139,238600000.0,161.63636,148.65,4.408115681
CNP.N,2022-11-01 06:30:00,0.32,0.29914,6.973,7.19061309086047,17739392031.98,1903000000.0,33551392031.98,14,2.0,1.94737,3.747421,202000000.0,31.125,28.18,3.68670376647434
CNP.N,2022-08-02 06:30:00,0.31,0.26927,15.126,7.44234411557173,18619095119.46,1944000000.0,33212095119.46,15,1.94737,1.94737,3.092855,190000000.0,33.0625,29.58,3.78654238088935
CNP.N,2022-05-03 06:30:00,0.47,0.47944,-1.969,6.22601368262973,19285808919.84,2763000000.0,33109808919.84,16,1.94737,1.94444,2.325202,531000000.0,33.3125,30.64,4.1319215660728
CNP.N,2022-02-22 06:30:00,0.36,0.28307,27.177,12.3538347405235,17551642635.94,2314000000.0,32775642635.94,15,1.94444,2.0,1.515266,38000000.0,30.13333,27.91,4.17568495253831
CNP.N,2021-11-04 06:30:00,0.33,0.27933,18.14,9.02158736977768,15470097056.4,1749000000.0,31708097056.4,14,2.0,2.07143,1.527139,150000000.0,28.23077,24.6,4.05475167060891
AMCR.N,2022-11-01 16:10:00,0.181,0.17757,1.932,6.20037168440615,15977179835.88,3712000000.0,22428179835.88,7,2.8,3.0,3.53384839524641,234000000.0,12.56875,10.73,1.49554316803355
AMCR.N,2022-08-17 16:10:00,0.244,0.239,2.092,2.7489539748954,18679390118.29,3909000000.0,24453390118.29,8,3.0,3.0,2.94105014823835,112000000.0,12.57778,12.43,1.76814466025197
AMCR.N,2022-05-03 16:24:00,0.204,0.19786,3.103,3.26998888102699,17150529379.94,3708000000.0,23382529379.94,9,3.0,2.7,2.0884838984078,271000000.0,12.3,11.33,1.7111075493038
AMCR.N,2022-02-01 16:24:00,0.181,0.18,0.556,2.77777777777778,18413358464.98,3507000000.0,24513358464.98,9,2.7,3.0,1.38519634175986,229000000.0,12.52857,12.01,1.852803282
AMCR.N,2021-11-02 16:48:00,0.177,0.17583,0.665,2.55360291190354,17791122698.15,3420000000.0,23805122698.15,7,3.0,2.88889,1.37666313148704,203000000.0,12.45714,11.59,1.810677451
WM.N,2022-10-26 07:05:00,1.56,1.51131,3.222,3.15686391276442,66220514900.15,5075000000.0,80148514900.15,16,2.31579,2.38889,3.747421,639000000.0,175.0625,160.21,4.18293914666334
WM.N,2022-07-27 07:07:00,1.44,1.40088,2.793,4.0924276169265,63511148651.68,5027000000.0,76896148651.68,16,2.38889,2.44444,3.092855,587000000.0,173.28571,152.98,4.1582872647013
WM.N,2022-04-26 07:07:00,1.29,1.13925,13.232,5.35615536537196,65802830836.0,4661000000.0,79136830836.0,16,2.44444,2.35294,2.325202,514000000.0,173.57143,158.5,4.41089904835201
WM.N,2022-02-02 07:11:00,1.26,1.25887,0.09,5.94898599537681,69816999983.3,4678000000.0,83105999983.3,15,2.35294,2.35294,1.515266,506000000.0,165.85714,166.9,4.777713625
WM.N,2021-10-26 07:07:00,1.26,1.36427,-7.643,5.44906799973612,62895342906.0,4665000000.0,75828342906.0,15,2.35294,2.47059,1.527139,539000000.0,163.06667,149.36,4.601195381
