Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise,Earnings Per Share - Actual Surprise AbsVals,Recommendation change,Earnings Per Share – Coefficient of Variation,Number of Analysts,Recommendation - Mean (1-5),Recommendation - Mean (1-5).1,Price Target - Mean,Price Target - Standard Deviation
AVY.N,2013-01-01,Materials,11.178,11.178,0.0,3.62562022606082,7.0,3.0,3.0,36.0,2.44949
AVY.N,2013-04-01,Materials,2.482,2.482,-0.125,2.04616907818172,7.0,2.875,3.0,42.57143,3.92272
AVY.N,2013-07-01,Materials,1.068,1.068,0.0,1.55160142348754,8.0,2.875,2.875,45.0,4.30946
AVY.N,2013-10-01,Materials,8.095,8.095,-0.25,2.77599360832171,7.0,2.625,2.875,47.71429,3.4523
AVY.N,2014-01-01,Materials,1.471,1.471,-0.2916699999999999,3.20441176470588,8.0,2.33333,2.625,54.625,3.42555
AVY.N,2014-04-01,Materials,-1.707,1.707,0.041669999999999874,2.06868393594338,7.0,2.375,2.33333,55.14286,2.89968
AVY.N,2014-07-01,Materials,0.719,0.719,-0.125,1.13812335544952,7.0,2.25,2.375,56.0,2.72554
AVY.N,2014-10-01,Materials,4.478,4.478,0.25,2.12618724559023,7.0,2.5,2.25,52.57143,3.33197
AVY.N,2015-01-01,Materials,11.921,11.921,-0.375,0.917750640435745,7.0,2.125,2.5,56.64286,4.42972
AVY.N,2015-04-01,Materials,16.691,16.691,0.125,3.51225977468522,7.0,2.25,2.125,58.5,1.80278
AVY.N,2015-07-01,Materials,3.57,3.57,-0.027779999999999916,3.17995060491902,8.0,2.22222,2.25,65.5,2.75379
AVY.N,2015-10-01,Materials,3.126,3.126,0.0,2.84129298389104,8.0,2.22222,2.22222,67.16667,3.23608
AVY.N,2016-01-01,Materials,8.817,8.817,0.0,4.15551828760898,8.0,2.22222,2.22222,68.83333,3.97562
AVY.N,2016-04-01,Materials,9.159,9.159,0.0,1.59557790345244,8.0,2.22222,2.22222,76.83333,4.25898
AVY.N,2016-07-01,Materials,7.522,7.522,0.4444499999999998,1.09593094944513,8.0,2.66667,2.22222,81.0,3.26599
AVY.N,2016-10-01,Materials,1.29,1.29,-0.041669999999999874,0.883526886896524,7.0,2.625,2.66667,85.8,7.67854
AVY.N,2017-01-01,Materials,6.18,6.18,-0.4027799999999999,2.00562002616959,8.0,2.22222,2.625,83.14286,7.07972
AVY.N,2017-04-01,Materials,6.232,6.232,0.0,2.71801546589082,8.0,2.22222,2.22222,86.57143,5.90054
AVY.N,2017-07-01,Materials,8.376,8.376,-0.22222000000000008,2.12699069286453,8.0,2.0,2.22222,94.57143,9.54474
AVY.N,2017-10-01,Materials,4.035,4.035,0.0,2.02455558032581,8.0,2.0,2.0,105.33333,8.45905
AVY.N,2018-01-01,Materials,6.504,6.504,0.10000000000000009,1.15392623200243,9.0,2.1,2.0,121.875,15.7038
AVY.N,2018-04-01,Materials,5.603,5.603,0.17273000000000005,3.3895570548548,10.0,2.27273,2.1,124.55556,9.55814
AVY.N,2018-07-01,Materials,7.249,7.249,-0.09091000000000005,1.41426540896757,10.0,2.18182,2.27273,123.44444,9.11788
AVY.N,2018-10-01,Materials,-1.044,1.044,-0.09091000000000005,1.53347437384836,10.0,2.09091,2.18182,125.5,7.96869
AVY.N,2019-01-01,Materials,1.543,1.543,-0.1818200000000001,1.23989578462155,10.0,1.90909,2.09091,115.3,9.1
AVY.N,2019-04-01,Materials,1.718,1.718,0.27273000000000014,1.85085910652921,10.0,2.18182,1.90909,120.22222,8.41662
AVY.N,2019-07-01,Materials,2.394,2.394,0.3181799999999999,0.931669623403065,9.0,2.5,2.18182,118.5,8.88819
AVY.N,2019-10-01,Materials,3.362,3.362,-0.04545000000000021,1.6145703611457,10.0,2.45455,2.5,124.55556,10.01234
AVY.N,2020-01-01,Materials,2.173,2.173,0.08391000000000037,1.91648948736121,11.0,2.53846,2.45455,136.6,11.2
AVY.N,2020-04-01,Materials,10.733,10.733,-0.07692000000000032,3.5547995463945,11.0,2.46154,2.53846,118.22222,6.95666
AVY.N,2020-07-01,Materials,11.96,11.96,-0.03296999999999972,9.32268387506281,12.0,2.42857,2.46154,128.3,10.75221
AVY.N,2020-10-01,Materials,25.104,25.104,-0.07143000000000033,6.04298074970689,12.0,2.35714,2.42857,137.63636,12.64388
AVY.N,2021-01-01,Materials,8.799,8.799,-0.1428499999999997,6.06637206315123,12.0,2.21429,2.35714,168.90909,16.26739
AVY.N,2021-04-01,Materials,18.297,18.297,-0.07142999999999988,3.52178627760252,11.0,2.14286,2.21429,206.1,23.44547
AVY.N,2021-07-01,Materials,9.359,9.359,0.010989999999999611,5.08009954117739,11.0,2.15385,2.14286,227.8,25.77906
AVY.N,2021-10-01,Materials,4.784,4.784,0.0,3.93575870342261,11.0,2.15385,2.15385,235.7,28.36917
AVY.N,2022-01-01,Materials,0.294,0.294,-0.010989999999999611,1.8759270158917,12.0,2.14286,2.15385,240.45455,21.56328
AVY.N,2022-04-01,Materials,10.595,10.595,-0.07619000000000042,3.88879672638797,12.0,2.06667,2.14286,219.0,23.96178
AVY.N,2022-07-01,Materials,11.635,11.635,-0.06666999999999978,2.60481637313149,13.0,2.0,2.06667,210.72727,21.00689
AVY.N,2022-10-01,Materials,-0.131,0.131,0.1428600000000002,2.0026550504825,13.0,2.14286,2.0,201.63636,21.42756
SIVB.OQ,2013-01-01,Banks,27.273,27.273,-0.11373000000000033,7.78522727272727,15.0,2.53333,2.64706,64.58333,2.72208
SIVB.OQ,2013-04-01,Banks,2.74,2.74,0.3333400000000002,4.44634703196347,15.0,2.86667,2.53333,68.69231,3.49471
SIVB.OQ,2013-07-01,Banks,13.293,13.293,-0.17917000000000005,3.11554781270374,16.0,2.6875,2.86667,87.46667,10.63245
SIVB.OQ,2013-10-01,Banks,1.178,1.178,-0.125,4.68052668052668,16.0,2.5625,2.6875,96.0,6.59293
SIVB.OQ,2014-01-01,Banks,15.85,15.85,0.0,3.84127708095781,16.0,2.5625,2.5625,112.2,12.1337
