Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise AbsVals,Number of Analysts,Recommendation - Mean (1-5).1,Price Target - Standard Deviation
AVY.N,2013-01-01,Materials,2.4996310451863826,-1.454924296131071,3.0,-0.3724813573935593
AVY.N,2013-04-01,Materials,1.2476068413459973,-1.454924296131071,3.0,-0.3142833072872655
AVY.N,2013-07-01,Materials,0.7265819566461827,-1.3174404885512048,2.875,-0.2990056426333363
AVY.N,2013-10-01,Materials,2.2077248119700856,-1.454924296131071,2.875,-0.3328666423612205
AVY.N,2014-01-01,Materials,0.9046229270064732,-1.3174404885512048,2.625,-0.3339233665932436
AVY.N,2014-04-01,Materials,0.995841010632164,-1.454924296131071,2.33333,-0.354697182364981
AVY.N,2014-07-01,Materials,0.5417427264007121,-1.454924296131071,2.375,-0.3615763583561772
AVY.N,2014-10-01,Materials,1.7007400708408864,-1.454924296131071,2.25,-0.337620123738392
AVY.N,2015-01-01,Materials,2.558853894740083,-1.454924296131071,2.5,-0.2942549265158374
AVY.N,2015-04-01,Materials,2.8730560356864765,-1.454924296131071,2.125,-0.3980288014343685
AVY.N,2015-07-01,Materials,1.5195132049061133,-1.3174404885512048,2.25,-0.3604603785597416
AVY.N,2015-10-01,Materials,1.41730841464906,-1.3174404885512048,2.22222,-0.3414081344527357
AVY.N,2016-01-01,Materials,2.284115576710384,-1.3174404885512048,2.22222,-0.3121935610489844
AVY.N,2016-04-01,Materials,2.318360012109408,-1.3174404885512048,2.22222,-0.3009997898943653
AVY.N,2016-07-01,Materials,2.1426510550777205,-1.3174404885512048,2.22222,-0.3402265784983502
AVY.N,2016-10-01,Materials,0.8285518175661483,-1.454924296131071,2.66667,-0.1659144846660722
AVY.N,2017-01-01,Materials,1.9712993830601329,-1.3174404885512048,2.625,-0.189570096053738
AVY.N,2017-04-01,Materials,1.9785156230898755,-1.3174404885512048,2.22222,-0.2361520803496997
AVY.N,2017-07-01,Materials,2.238153232834657,-1.3174404885512048,2.22222,-0.0921926617949893
AVY.N,2017-10-01,Materials,1.6164135261705257,-1.3174404885512048,2.0,-0.1350814442796673
