Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise AbsVals,Revenue - Actual,Market Capitalization,Earnings Per Share – Coefficient of Variation,loss firm status
AVY.N,2013-01-01,Materials,2.4996310451863826,-0.3780551210624824,-0.3926999236072963,-0.1708649513514765,-1
AVY.N,2013-04-01,Materials,1.2476068413459973,-0.380856697328314,-0.3854900623178192,-0.2350843353947315,-1
AVY.N,2013-07-01,Materials,0.7265819566461827,-0.3763640795326561,-0.3859079087637956,-0.2551931119117047,-1
AVY.N,2013-10-01,Materials,2.2077248119700856,-0.380351908811948,-0.3857839800839484,-0.205410178110295,-1
AVY.N,2014-01-01,Materials,0.9046229270064732,-0.3737055266797949,-0.3808566037671961,-0.187990994140672,-1
AVY.N,2014-04-01,Materials,0.995841010632164,-0.3765491686553237,-0.3815123885998799,-0.234168896953209,-1
AVY.N,2014-07-01,Materials,0.5417427264007121,-0.3710217344011154,-0.3806609061598939,-0.2720048422906105,-1
AVY.N,2014-10-01,Materials,1.7007400708408864,-0.3757499201710774,-0.3851588735015465,-0.231830852417341,-1
AVY.N,2015-01-01,Materials,2.558853894740083,-0.3719471800144532,-0.3821546006967585,-0.2809650434574069,-1
AVY.N,2015-04-01,Materials,2.8730560356864765,-0.3784084730239387,-0.3815295008549721,-0.1754741083817411,-1
AVY.N,2015-07-01,Materials,1.5195132049061133,-0.3794180500566708,-0.374477169319623,-0.1889855678675044,-1
AVY.N,2015-10-01,Materials,1.41730841464906,-0.3834479450456598,-0.3762736552952425,-0.2027551509617171,-1
AVY.N,2016-01-01,Materials,2.284115576710384,-0.3845668929236046,-0.3740721572607947,-0.1493196650891992,-1
AVY.N,2016-04-01,Materials,2.318360012109408,-0.3819840583481982,-0.3675456495059355,-0.2534050588531921,-1
AVY.N,2016-07-01,Materials,2.1426510550777205,-0.377272698862115,-0.3678084802793802,-0.2737203561439786,-1
AVY.N,2016-10-01,Materials,0.8285518175661483,-0.3800322094182495,-0.3642482691931243,-0.282356557449396,-1
AVY.N,2017-01-01,Materials,1.9712993830601329,-0.3764902766617476,-0.3696608328617093,-0.2367330316188937,-1
AVY.N,2017-04-01,Materials,1.9785156230898755,-0.3746982774286482,-0.3618331032964536,-0.2077675290165789,-1
AVY.N,2017-07-01,Materials,2.238153232834657,-0.3700878756458382,-0.3567918274173065,-0.2317981848105359,-1
AVY.N,2017-10-01,Materials,1.6164135261705257,-0.3656625629856957,-0.3497221054218344,-0.2359631251700218,-1
AVY.N,2018-01-01,Materials,2.0154362117039235,-0.3609680297834914,-0.3381350275158057,-0.2713623083320881,-1
AVY.N,2018-04-01,Materials,1.8875240912124345,-0.3575102284463839,-0.3442646342693276,-0.1804631155431989,-1
AVY.N,2018-07-01,Materials,2.1100919808785945,-0.3509648040175041,-0.347307478734099,-0.2607770986473952,-1
AVY.N,2018-10-01,Materials,0.714908672341458,-0.3589152231502695,-0.3433591403452072,-0.2559301451298025,-1
AVY.N,2019-01-01,Materials,0.9333444864399828,-0.3581580403757204,-0.3577986119440863,-0.2678668461754474,-1
AVY.N,2019-04-01,Materials,0.999896315728952,-0.3605641989703986,-0.3432188557529974,-0.2430255028653888,1
AVY.N,2019-07-01,Materials,1.2220091668120343,-0.3558864920520732,-0.3409639703130985,-0.2803991073004893,-1
AVY.N,2019-10-01,Materials,1.4729306677794374,-0.3587721997372991,-0.3431396062152791,-0.2526328387461209,-1
AVY.N,2020-01-01,Materials,1.1546775126010584,-0.3578046884142641,-0.3309697933930901,-0.2403570172732799,-1
AVY.N,2020-04-01,Materials,2.4624053844414866,-0.3620028462420419,-0.3524697524804614,-0.1737444708806515,-1
AVY.N,2020-07-01,Materials,2.561867690924129,-0.3783664073142415,-0.3459585681970297,0.0607736902648905,-1
AVY.N,2020-10-01,Materials,3.26208855929102,-0.3614896445837364,-0.3393985686378781,-0.0725767554503304,-1
AVY.N,2021-01-01,Materials,2.2822803396536813,-0.3394640389862975,-0.3150626571870602,-0.0716256809309473,-1
AVY.N,2021-04-01,Materials,2.9599496434142187,-0.3343825012548791,-0.2932350347873184,-0.1750867674055692,-1
AVY.N,2021-07-01,Materials,2.337855707075965,-0.330117038291586,-0.2784643823337043,-0.1117268350217201,-1
AVY.N,2021-10-01,Materials,1.7550954848564635,-0.3326578071572951,-0.2788471694879152,-0.1582549367834212,-1
AVY.N,2022-01-01,Materials,0.2577381960787088,-0.3232855670367654,-0.2743207796282799,-0.2420062591232363,-1
AVY.N,2022-04-01,Materials,2.450573970707495,-0.3093113382753651,-0.3030121356725396,-0.1601643780742568,-1
AVY.N,2022-07-01,Materials,2.5364707408401577,-0.309504840539972,-0.3109969352901465,-0.2123701253178454,-1
AVY.N,2022-10-01,Materials,0.1231021971339834,-0.3120203699798629,-0.3127653116105126,-0.2368535854660854,-1
SIVB.OQ,2013-01-01,Banks,3.341907285636589,-0.4827944475060499,-0.400325605137093,-0.0017382247935811,-1
SIVB.OQ,2013-04-01,Banks,1.3190856114264409,-0.4866205761972658,-0.3946964962048282,-0.1374947708215936,-1
SIVB.OQ,2013-07-01,Banks,2.6597699069269782,-0.4843871394066042,-0.3900067439874272,-0.1916041405611168,-1
SIVB.OQ,2013-10-01,Banks,0.7784070245107687,-0.4703854838024813,-0.388511626208249,-0.1279731893492008,-1
SIVB.OQ,2014-01-01,Banks,2.8243506567983707,-0.4711456111767092,-0.3814649075078858,-0.1620964937738,-1
SIVB.OQ,2014-04-01,Banks,3.2151890370102056,-0.4643442589700318,-0.372382947199025,0.2487669709453996,-1
SIVB.OQ,2014-07-01,Banks,2.9738444737959617,-0.4885217780127391,-0.3769415220464872,0.5194830363802164,-1
SIVB.OQ,2014-10-01,Banks,0.7328485474114974,-0.4816602718411948,-0.3741696700456576,-0.0734335519792668,-1
SIVB.OQ,2015-01-01,Banks,1.9743587652266836,-0.473108986111115,-0.372420420115725,-0.0829289661700221,-1
SIVB.OQ,2015-04-01,Banks,3.332918540908861,-0.4723910085780037,-0.3676844826770175,-0.1007962855002494,-1
SIVB.OQ,2015-07-01,Banks,2.7065156910102584,-0.4758277770602626,-0.360190224583459,-0.099075066446103,-1
SIVB.OQ,2015-10-01,Banks,1.2734055790412728,-0.4764100506138908,-0.3721088133840842,-0.024059825303715,-1
SIVB.OQ,2016-01-01,Banks,2.39643966846567,-0.4746905726643092,-0.3705792450508083,-0.1297168014920941,-1
SIVB.OQ,2016-04-01,Banks,2.434753056571463,-0.4760383580030066,-0.3776006644456614,-0.1650531842474492,-1
