Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise,Earnings Per Share – Coefficient of Variation,Market Capitalization,Revenue - Actual,Enterprise Value,Number of Analysts,Recommendation - Mean (1-5),Recommendation - Mean (1-5),"WACC Inflation Adjusted Risk Free Rate, (%)",Net Income after Tax,Price Target - Mean,Price Target - Standard Deviation,Price Close,Enterprise Value To Sales (Daily Time Series Ratio),3 Month Total Return
POOL.OQ,2022-10-01,4.78,4.5875,4.196,3.84370572207084,12598134372.3,1615339000.0,14061600372.3,10,2.27273,2.2,3.747421,189965000.0,360.11111,24.95082,318.21,2.38392625108762,-9.16437517579112
POOL.OQ,2022-07-01,7.63,7.517,1.503,3.62524943461487,14057953705.29,2055818000.0,15561870705.29,9,2.2,2.0,3.092855,307205000.0,435.375,57.57373,351.23,2.74948113307899,-21.6615695848725
POOL.OQ,2022-04-01,4.23,3.14867,34.342,6.63073615208961,16967115034.2,1412650000.0,18436823034.2,9,2.0,2.3,2.325202,179203000.0,519.88889,37.49206,422.85,3.42287979136574,-25.1606642775324
POOL.OQ,2022-01-01,2.63,1.875,40.267,3.26986666666667,22689791586.0,1035557000.0,23848820586.0,8,2.3,2.3,1.515266,107542000.0,571.0,41.33833,566.0,4.504381806,30.4897054542077
POOL.OQ,2021-10-01,4.51,3.84833,17.194,2.83629522416217,17420199822.66,1411448000.0,17699543822.66,8,2.3,2.3,1.527139,184573000.0,545.28571,50.48823,434.41,3.684400307,-5.13032169564558
POOL.OQ,2021-07-01,6.37,5.47714,16.302,4.10889624877217,18406671593.28,1787833000.0,18771322593.28,10,2.3,2.33333,1.444323,259638000.0,487.875,38.16228,458.66,4.354724968,34.210936669829
POOL.OQ,2021-04-01,2.42,1.1425,111.816,8.91291028446389,13863491964.0,1060745000.0,14269584964.0,9,2.33333,2.33333,1.745787,98580000.0,404.42857,29.07555,345.24,3.618679855,-7.16149058994691
POOL.OQ,2021-01-01,1.45,0.76333,89.957,8.05156354394561,14959071795.0,839261000.0,15340961795.0,9,2.33333,2.25,0.926432,59126000.0,377.14286,23.54587,372.5,4.137479402,11.5370310375736
POOL.OQ,2020-10-01,2.92,2.18113,33.876,2.50879131459381,13406982887.96,1139229000.0,13672167887.96,8,2.25,2.25,0.677434,119012000.0,371.5,17.82087,334.54,4.013414265,23.2714912423221
POOL.OQ,2020-07-01,3.87,3.09633,24.987,8.1205814625702,10857270909.88,1280846000.0,11251889909.88,9,2.25,2.44444,0.638068,157481000.0,291.0,25.11971,271.87,3.484078525,37.4309490022276
