Instrument,Date,Earnings Per Share - Actual Surprise,Earnings Per Share - Actual Surprise AbsVals,GICS Industry Group Name,Earnings Per Share – Coefficient of Variation,Market Capitalization,Revenue - Actual,Number of Analysts,Recommendation - Mean (1-5),Recommendation change,Recommendation - Mean (1-5).1,Price Target - Standard Deviation,Enterprise Value To Sales (Daily Time Series Ratio),3 Month Total Return,Volume,loss firm status
AVY.N,2013-01-01,11.178,11.178,Materials,3.62562022606082,3426001367.2,1532200000.0,7.0,3.0,0.0,3.0,2.44949,0.799347003,10.6374793238822,207295.0,-1
AVY.N,2013-04-01,2.482,2.482,Materials,2.04616907818172,4309428200.46,1498900000.0,7.0,2.875,-0.125,3.0,3.92272,0.895786659,24.1487263146973,0.0,-1
AVY.N,2013-07-01,1.068,1.068,Materials,1.55160142348754,4258229328.84,1552300000.0,8.0,2.875,0.0,2.875,4.30946,0.906078467,-0.054218308940701,0.0,-1
AVY.N,2013-10-01,8.095,8.095,Materials,2.77599360832171,4273414353.46,1504900000.0,7.0,2.625,-0.25,2.875,3.4523,0.903175623,2.46762008841375,236291.0,-1
AVY.N,2014-01-01,1.471,1.471,Materials,3.20441176470588,4877167502.24,1583900000.0,8.0,2.33333,-0.2916699999999999,2.625,3.42555,0.920659118,16.0038520663565,157761.0,-1
AVY.N,2014-04-01,-1.707,1.707,Materials,2.06868393594338,4796813956.62,1550100000.0,7.0,2.375,0.0416699999999998,2.33333,2.89968,0.902106918,1.54902463541229,176070.0,-1
AVY.N,2014-07-01,0.719,0.719,Materials,1.13812335544952,4901146398.72,1615800000.0,7.0,2.25,-0.125,2.375,2.72554,0.935593953,3.25966589997473,214940.0,-1
AVY.N,2014-10-01,4.478,4.478,Materials,2.12618724559023,4350008882.31,1559600000.0,7.0,2.5,0.25,2.25,3.33197,0.821117575,-12.2445004132808,363322.0,-1
AVY.N,2015-01-01,11.921,11.921,Materials,0.917750640435745,4718123483.08,1604800000.0,7.0,2.125,-0.375,2.5,4.42972,0.894367543,17.0203603162066,119821.0,-1
AVY.N,2015-04-01,16.691,16.691,Materials,3.51225977468522,4794717186.0,1528000000.0,7.0,2.25,0.125,2.125,1.80278,0.904187039,2.6472249589117,210533.0,-1
AVY.N,2015-07-01,3.57,3.57,Materials,3.17995060491902,5658841843.22,1516000000.0,8.0,2.22222,-0.0277799999999999,2.25,2.75379,1.037599426,14.2459549807738,292975.0,-1
AVY.N,2015-10-01,3.126,3.126,Materials,2.84129298389104,5438717786.36,1468100000.0,8.0,2.22222,0.0,2.22222,3.23608,0.979049983,-6.57961846329322,269768.0,-1
AVY.N,2016-01-01,8.817,8.817,Materials,4.15551828760898,5708468112.88,1454800000.0,8.0,2.22222,0.0,2.22222,3.97562,1.077403278,11.3867576111819,176421.0,-1
AVY.N,2016-04-01,9.159,9.159,Materials,1.59557790345244,6508163397.8,1485500000.0,8.0,2.22222,0.0,2.22222,4.25898,1.230332371,15.7352631813722,257813.0,-1
AVY.N,2016-07-01,7.522,7.522,Materials,1.09593094944513,6475958650.92,1541500000.0,8.0,2.66667,0.4444499999999998,2.22222,3.26599,1.303845699,3.81276141157192,239924.0,-1
AVY.N,2016-10-01,1.29,1.29,Materials,0.883526886896524,6912192564.36,1508700000.0,7.0,2.625,-0.0416699999999998,2.66667,7.67854,1.320693216,4.61292783099601,254525.0,-1
AVY.N,2017-01-01,6.18,6.18,Materials,2.00562002616959,6248989239.14,1550800000.0,8.0,2.22222,-0.4027799999999999,2.625,7.07972,1.228643559,-9.2223174005132,0.0,-1
AVY.N,2017-04-01,6.232,6.232,Materials,2.71801546589082,7208123689.0,1572100000.0,8.0,2.22222,0.0,2.22222,5.90054,1.364581235,15.3652690752392,219052.0,-1
AVY.N,2017-07-01,8.376,8.376,Materials,2.12699069286453,7825832991.12,1626900000.0,8.0,2.0,-0.22222,2.22222,9.54474,1.476459638,10.3910029632887,171971.0,-1
AVY.N,2017-10-01,4.035,4.035,Materials,2.02455558032581,8692088507.52,1679500000.0,8.0,2.0,0.0,2.0,8.45905,1.630261006,11.8091796048816,0.0,-1
AVY.N,2018-01-01,6.504,6.504,Materials,1.15392623200243,10111857228.48,1735300000.0,9.0,2.1,0.1,2.0,15.7038,1.798167332,17.2631265039522,0.0,-1
AVY.N,2018-04-01,5.603,5.603,Materials,3.3895570548548,9360794362.5,1776400000.0,10.0,2.27273,0.17273,2.1,9.55814,1.620565237,-7.13259316399153,0.0,-1
AVY.N,2018-07-01,7.249,7.249,Materials,1.41426540896757,8987953562.7,1854200000.0,10.0,2.18182,-0.09091,2.27273,9.11788,1.541991693,-3.43958018174656,0.0,-1
