Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise
POOL.OQ,2022-10-01,Retailing,4.196
POOL.OQ,2022-07-01,Retailing,1.503
POOL.OQ,2022-04-01,Retailing,34.342
POOL.OQ,2022-01-01,Retailing,40.267
POOL.OQ,2021-10-01,Retailing,17.194
POOL.OQ,2021-07-01,Retailing,16.302
POOL.OQ,2021-04-01,Retailing,111.816
POOL.OQ,2021-01-01,Retailing,89.957
POOL.OQ,2020-10-01,Retailing,33.876
POOL.OQ,2020-07-01,Retailing,24.987
POOL.OQ,2020-04-01,Retailing,38.698
POOL.OQ,2020-01-01,Retailing,21.025
POOL.OQ,2019-10-01,Retailing,9.29
POOL.OQ,2019-07-01,Retailing,-0.194
POOL.OQ,2019-04-01,Retailing,23.077
POOL.OQ,2019-01-01,Retailing,-7.082
POOL.OQ,2018-10-01,Retailing,4.779
POOL.OQ,2018-07-01,Retailing,-2.633
POOL.OQ,2018-04-01,Retailing,6.383
POOL.OQ,2018-01-01,Retailing,94.118
POOL.OQ,2017-10-01,Retailing,0.723
POOL.OQ,2017-07-01,Retailing,-1.276
POOL.OQ,2017-04-01,Retailing,0.946
POOL.OQ,2017-01-01,Retailing,4.348
POOL.OQ,2016-10-01,Retailing,2.716
POOL.OQ,2016-07-01,Retailing,2.524
POOL.OQ,2016-04-01,Retailing,54.315
POOL.OQ,2016-01-01,Retailing,633.333
POOL.OQ,2015-10-01,Retailing,3.053
POOL.OQ,2015-07-01,Retailing,-2.174
POOL.OQ,2015-04-01,Retailing,33.596
POOL.OQ,2015-01-01,Retailing,34.785
POOL.OQ,2014-10-01,Retailing,-0.284
POOL.OQ,2014-07-01,Retailing,0.069
POOL.OQ,2014-04-01,Retailing,-11.955
POOL.OQ,2014-01-01,Retailing,2.938
POOL.OQ,2013-10-01,Retailing,-5.227
POOL.OQ,2013-07-01,Retailing,-0.714
POOL.OQ,2013-04-01,Retailing,34.048
POOL.OQ,2013-01-01,Retailing,11.56
CHRW.OQ,2022-10-01,Transportation,-18.054
CHRW.OQ,2022-07-01,Transportation,34.612
CHRW.OQ,2022-04-01,Transportation,32.737
CHRW.OQ,2022-01-01,Transportation,-6.173
CHRW.OQ,2021-10-01,Transportation,30.199
CHRW.OQ,2021-07-01,Transportation,8.02
CHRW.OQ,2021-04-01,Transportation,30.283
CHRW.OQ,2021-01-01,Transportation,11.306
CHRW.OQ,2020-10-01,Transportation,2.81
CHRW.OQ,2020-07-01,Transportation,77.287
CHRW.OQ,2020-04-01,Transportation,-16.089
CHRW.OQ,2020-01-01,Transportation,-23.651
CHRW.OQ,2019-10-01,Transportation,-6.26
CHRW.OQ,2019-07-01,Transportation,-0.272
CHRW.OQ,2019-04-01,Transportation,1.548
CHRW.OQ,2019-01-01,Transportation,10.748
CHRW.OQ,2018-10-01,Transportation,6.447
CHRW.OQ,2018-07-01,Transportation,6.248
CHRW.OQ,2018-04-01,Transportation,0.628
CHRW.OQ,2018-01-01,Transportation,2.053
CHRW.OQ,2017-10-01,Transportation,3.868
CHRW.OQ,2017-07-01,Transportation,-13.232
CHRW.OQ,2017-04-01,Transportation,6.548
CHRW.OQ,2017-01-01,Transportation,2.19
CHRW.OQ,2016-10-01,Transportation,-6.53
CHRW.OQ,2016-07-01,Transportation,-0.238
CHRW.OQ,2016-04-01,Transportation,1.379
CHRW.OQ,2016-01-01,Transportation,1.182
CHRW.OQ,2015-10-01,Transportation,2.515
CHRW.OQ,2015-07-01,Transportation,8.991
CHRW.OQ,2015-04-01,Transportation,-0.779
CHRW.OQ,2015-01-01,Transportation,1.435
CHRW.OQ,2014-10-01,Transportation,1.971
CHRW.OQ,2014-07-01,Transportation,4.668
CHRW.OQ,2014-04-01,Transportation,3.584
CHRW.OQ,2014-01-01,Transportation,-8.809
CHRW.OQ,2013-10-01,Transportation,-5.688
CHRW.OQ,2013-07-01,Transportation,-2.122
CHRW.OQ,2013-04-01,Transportation,-6.614
CHRW.OQ,2013-01-01,Transportation,-3.011
AJG.N,2022-10-01,Insurance,3.333
AJG.N,2022-07-01,Insurance,1.21
AJG.N,2022-04-01,Insurance,2.717
AJG.N,2022-01-01,Insurance,4.097
AJG.N,2021-10-01,Insurance,9.569
AJG.N,2021-07-01,Insurance,2.632
AJG.N,2021-04-01,Insurance,9.829
AJG.N,2021-01-01,Insurance,12.347
AJG.N,2020-10-01,Insurance,16.971
AJG.N,2020-07-01,Insurance,29.696
AJG.N,2020-04-01,Insurance,5.695
AJG.N,2020-01-01,Insurance,11.005
AJG.N,2019-10-01,Insurance,0.846
AJG.N,2019-07-01,Insurance,5.937
AJG.N,2019-04-01,Insurance,1.515
AJG.N,2019-01-01,Insurance,2.626
AJG.N,2018-10-01,Insurance,1.299
AJG.N,2018-07-01,Insurance,-1.148
AJG.N,2018-04-01,Insurance,5.039
AJG.N,2018-01-01,Insurance,9.818
AJG.N,2017-10-01,Insurance,2.079
AJG.N,2017-07-01,Insurance,0.238
AJG.N,2017-04-01,Insurance,3.309
AJG.N,2017-01-01,Insurance,0.103
AJG.N,2016-10-01,Insurance,1.211
AJG.N,2016-07-01,Insurance,1.069
AJG.N,2016-04-01,Insurance,14.002
AJG.N,2016-01-01,Insurance,8.012
AJG.N,2015-10-01,Insurance,11.042
AJG.N,2015-07-01,Insurance,1.035
AJG.N,2015-04-01,Insurance,6.791
AJG.N,2015-01-01,Insurance,3.964
AJG.N,2014-10-01,Insurance,1.878
AJG.N,2014-07-01,Insurance,10.532
AJG.N,2014-04-01,Insurance,33.523
AJG.N,2014-01-01,Insurance,-0.609
AJG.N,2013-10-01,Insurance,-2.768
AJG.N,2013-07-01,Insurance,2.965
AJG.N,2013-04-01,Insurance,39.384
AJG.N,2013-01-01,Insurance,-7.147
CNP.N,2022-10-01,Utilities,6.973
CNP.N,2022-07-01,Utilities,15.126
CNP.N,2022-04-01,Utilities,-1.969
CNP.N,2022-01-01,Utilities,27.177
CNP.N,2021-10-01,Utilities,18.14
CNP.N,2021-07-01,Utilities,46.849
CNP.N,2021-04-01,Utilities,10.769
CNP.N,2021-01-01,Utilities,43.465
CNP.N,2020-10-01,Utilities,11.99
CNP.N,2020-07-01,Utilities,1.122
CNP.N,2020-04-01,Utilities,49.004
CNP.N,2020-01-01,Utilities,25.411
CNP.N,2019-10-01,Utilities,22.665
CNP.N,2019-07-01,Utilities,14.555
CNP.N,2019-04-01,Utilities,-14.147
CNP.N,2019-01-01,Utilities,4.91
CNP.N,2018-10-01,Utilities,-7.269
CNP.N,2018-07-01,Utilities,-7.187
CNP.N,2018-04-01,Utilities,24.694
CNP.N,2018-01-01,Utilities,10.538
CNP.N,2017-10-01,Utilities,-3.57
CNP.N,2017-07-01,Utilities,32.662
CNP.N,2017-04-01,Utilities,7.436
CNP.N,2017-01-01,Utilities,-7.575
CNP.N,2016-10-01,Utilities,13.001
CNP.N,2016-07-01,Utilities,-15.704
CNP.N,2016-04-01,Utilities,3.013
CNP.N,2016-01-01,Utilities,16.089
CNP.N,2015-10-01,Utilities,15.194
CNP.N,2015-07-01,Utilities,1.409
CNP.N,2015-04-01,Utilities,-8.198
CNP.N,2015-01-01,Utilities,39.828
CNP.N,2014-10-01,Utilities,-1.316
CNP.N,2014-07-01,Utilities,-10.352
CNP.N,2014-04-01,Utilities,-13.921
CNP.N,2014-01-01,Utilities,-6.609
CNP.N,2013-10-01,Utilities,-6.911
CNP.N,2013-07-01,Utilities,10.003
CNP.N,2013-04-01,Utilities,-15.115
CNP.N,2013-01-01,Utilities,33.124
AMCR.N,2022-10-01,Materials,1.932
AMCR.N,2022-07-01,Materials,2.092
AMCR.N,2022-04-01,Materials,3.103
AMCR.N,2022-01-01,Materials,0.556
AMCR.N,2021-10-01,Materials,0.665
AMCR.N,2021-07-01,Materials,5.74
AMCR.N,2021-04-01,Materials,4.262
AMCR.N,2021-01-01,Materials,1.999
AMCR.N,2020-10-01,Materials,6.519
AMCR.N,2020-07-01,Materials,-1.042
AMCR.N,2020-04-01,Materials,-5.422
AMCR.N,2020-01-01,Materials,7.868
AMCR.N,2019-10-01,Materials,-13.333
AMCR.N,2019-07-01,Materials,
AMCR.N,2019-04-01,Materials,
AMCR.N,2019-01-01,Materials,
AMCR.N,2018-10-01,Materials,
AMCR.N,2018-07-01,Materials,
AMCR.N,2018-04-01,Materials,
AMCR.N,2018-01-01,Materials,
AMCR.N,2017-10-01,Materials,
AMCR.N,2017-07-01,Materials,
AMCR.N,2017-04-01,Materials,
AMCR.N,2017-01-01,Materials,
AMCR.N,2016-10-01,Materials,
AMCR.N,2016-07-01,Materials,
AMCR.N,2016-04-01,Materials,
AMCR.N,2016-01-01,Materials,
AMCR.N,2015-10-01,Materials,
AMCR.N,2015-07-01,Materials,
AMCR.N,2015-04-01,Materials,
AMCR.N,2015-01-01,Materials,
AMCR.N,2014-10-01,Materials,
AMCR.N,2014-07-01,Materials,
AMCR.N,2014-04-01,Materials,
AMCR.N,2014-01-01,Materials,
AMCR.N,2013-10-01,Materials,
AMCR.N,2013-07-01,Materials,
AMCR.N,2013-04-01,Materials,
AMCR.N,2013-01-01,Materials,
