Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise,Earnings Per Share - Actual Surprise AbsVals
AVY.N,2013-01-01,Materials,11.177451565749122,11.177451565749122
AVY.N,2013-04-01,Materials,2.4821524725990365,2.4821524725990365
AVY.N,2013-07-01,Materials,1.0676156583629823,1.0676156583629823
AVY.N,2013-10-01,Materials,8.094559240518228,8.094559240518228
AVY.N,2014-01-01,Materials,1.4705882352941024,1.4705882352941024
AVY.N,2014-04-01,Materials,-1.7072691254971375,1.7072691254971375
AVY.N,2014-07-01,Materials,0.7188810132319421,0.7188810132319421
AVY.N,2014-10-01,Materials,4.477611940298512,4.477611940298512
AVY.N,2015-01-01,Materials,11.920809809237204,11.920809809237204
AVY.N,2015-04-01,Materials,16.691157403405665,16.691157403405665
AVY.N,2015-07-01,Materials,3.570331083618817,3.570331083618817
AVY.N,2015-10-01,Materials,3.1257778884107967,3.1257778884107967
AVY.N,2016-01-01,Materials,8.816714247308385,8.816714247308385
AVY.N,2016-04-01,Materials,9.15889586938093,9.15889586938093
AVY.N,2016-07-01,Materials,7.521578298397056,7.521578298397056
AVY.N,2016-10-01,Materials,1.2896885091361274,1.2896885091361274
AVY.N,2017-01-01,Materials,6.179883738389927,6.179883738389927
AVY.N,2017-04-01,Materials,6.2322946175637455,6.2322946175637455
AVY.N,2017-07-01,Materials,8.37642192347467,8.37642192347467
AVY.N,2017-10-01,Materials,4.035074682321466,4.035074682321466
AVY.N,2018-01-01,Materials,6.503947853104636,6.503947853104636
AVY.N,2018-04-01,Materials,5.602816075095338,5.602816075095338
AVY.N,2018-07-01,Materials,7.24899857862772,7.24899857862772
AVY.N,2018-10-01,Materials,-1.0441547805910116,1.0441547805910116
AVY.N,2019-01-01,Materials,1.5431892577994604,1.5431892577994604
AVY.N,2019-04-01,Materials,1.718213058419238,1.718213058419238
AVY.N,2019-07-01,Materials,2.394361166343207,2.394361166343207
AVY.N,2019-10-01,Materials,3.3623910336239,3.3623910336239
AVY.N,2020-01-01,Materials,2.1733994802740337,2.1733994802740337
AVY.N,2020-04-01,Materials,10.733106530585006,10.733106530585006
AVY.N,2020-07-01,Materials,11.960364267893818,11.960364267893818
