,Instrument,Date,Earnings Per Share - Actual,Earnings Per Share - Mean,Earnings Per Share - Actual Surprise
0,POOL.OQ,2023-02-16 07:00:00+00:00,1.82,1.987,-8.405
1,POOL.OQ,2022-10-20 07:00:00+00:00,4.78,4.5875,4.196
2,POOL.OQ,2022-07-21 07:00:00+00:00,7.63,7.517,1.503
3,POOL.OQ,2022-04-21 07:00:00+00:00,4.23,3.14867,34.342
4,POOL.OQ,2022-02-17 07:00:00+00:00,2.63,1.875,40.267
5,POOL.OQ,2021-10-21 07:00:00+00:00,4.51,3.84833,17.194
6,CHRW.OQ,2023-02-01 16:05:00+00:00,1.03,1.376,-25.145
7,CHRW.OQ,2022-11-02 07:30:00+00:00,1.78,2.17217,-18.054
8,CHRW.OQ,2022-07-27 16:05:00+00:00,2.67,1.98348,34.612
9,CHRW.OQ,2022-04-27 16:05:00+00:00,2.05,1.54441,32.737
10,CHRW.OQ,2022-02-02 07:30:00+00:00,1.74,1.85448,-6.173
11,CHRW.OQ,2021-10-26 16:05:00+00:00,1.85,1.4209,30.199
12,AJG.N,2023-01-26 16:15:00+00:00,1.3,1.49744,-13.185
13,AJG.N,2022-10-27 16:15:00+00:00,1.72,1.66453,3.333
14,AJG.N,2022-07-28 16:15:00+00:00,1.7,1.67967,1.21
15,AJG.N,2022-04-28 16:15:00+00:00,2.81,2.73567,2.717
16,AJG.N,2022-01-27 16:15:00+00:00,0.98,0.94143,4.097
17,AJG.N,2021-10-27 16:15:00+00:00,1.33,1.21385,9.569
18,CNP.N,2023-02-17 06:25:00+00:00,0.28,0.28575,-2.012
19,CNP.N,2022-11-01 06:30:00+00:00,0.32,0.29914,6.973
20,CNP.N,2022-08-02 06:30:00+00:00,0.31,0.26927,15.126
21,CNP.N,2022-05-03 06:30:00+00:00,0.47,0.47944,-1.969
22,CNP.N,2022-02-22 06:30:00+00:00,0.36,0.28307,27.177
23,CNP.N,2021-11-04 06:30:00+00:00,0.33,0.27933,18.14
24,AMCR.N,2023-02-07 16:10:00+00:00,0.185,0.17586,5.197
25,AMCR.N,2022-11-01 16:10:00+00:00,0.181,0.17757,1.932
26,AMCR.N,2022-08-17 16:10:00+00:00,0.244,0.239,2.092
27,AMCR.N,2022-05-03 16:24:00+00:00,0.204,0.19786,3.103
28,AMCR.N,2022-02-01 16:24:00+00:00,0.181,0.18,0.556
29,AMCR.N,2021-11-02 16:48:00+00:00,0.177,0.17583,0.665
30,WM.N,2023-01-31 19:08:00+00:00,1.3,1.40824,-7.686
31,WM.N,2022-10-26 07:05:00+00:00,1.56,1.51131,3.222
32,WM.N,2022-07-27 07:07:00+00:00,1.44,1.40088,2.793
33,WM.N,2022-04-26 07:07:00+00:00,1.29,1.13925,13.232
34,WM.N,2022-02-02 07:11:00+00:00,1.26,1.25887,0.09
35,WM.N,2021-10-26 07:07:00+00:00,1.26,1.36427,-7.643
36,BA.N,2023-01-25 07:30:00+00:00,-1.75,0.25606,-783.434
37,BA.N,2022-10-26 07:30:00+00:00,-6.18,0.07056,-8858.503
38,BA.N,2022-07-27 07:30:00+00:00,-0.37,-0.14013,-164.041
39,BA.N,2022-04-27 07:30:00+00:00,-2.75,-0.2695,-920.408
40,BA.N,2022-01-26 07:30:00+00:00,-7.69,-0.42067,-1728.036
41,BA.N,2021-10-27 07:30:00+00:00,-0.6,-0.19813,-202.832
42,FOX.OQ,2023-02-08 08:00:00+00:00,0.48,0.48374,-0.773
43,FOX.OQ,2022-11-01 08:00:00+00:00,1.21,1.14282,5.878
44,FOX.OQ,2022-08-10 08:00:00+00:00,0.74,0.75445,-1.915
45,FOX.OQ,2022-05-10 08:00:00+00:00,0.81,0.87791,-7.735
46,FOX.OQ,2022-02-09 08:01:00+00:00,0.13,0.03285,295.738
47,FOX.OQ,2021-11-03 16:05:00+00:00,1.11,1.03313,7.441
48,LIN.N,2023-02-07 06:05:00+00:00,3.16,2.91283,8.486
49,LIN.N,2022-10-27 06:20:00+00:00,3.1,2.93247,5.713
50,LIN.N,2022-07-28 02:20:00+00:00,3.1,2.96267,4.635
51,LIN.N,2022-04-28 07:22:00+00:00,2.93,2.77594,5.55
52,LIN.N,2022-02-10 06:00:00+00:00,2.77,2.67226,3.658
53,LIN.N,2021-10-28 06:00:00+00:00,2.73,2.659,2.67
54,WY.N,2023-01-26 16:46:00+00:00,0.24,0.1765,35.977
55,WY.N,2022-10-27 16:15:00+00:00,0.42,0.3734,12.48
56,WY.N,2022-07-29 03:05:00+00:00,1.06,0.9821,7.932
57,WY.N,2022-04-29 03:05:00+00:00,1.31,1.18967,10.115
58,WY.N,2022-01-28 03:05:00+00:00,0.49,0.48122,1.825
59,WY.N,2021-10-29 03:05:00+00:00,0.6,0.57222,4.855
60,MCD.N,2023-01-31 07:07:00+00:00,2.59,2.45461,5.516
61,MCD.N,2022-10-27 07:02:00+00:00,2.68,2.57683,4.004
62,MCD.N,2022-07-26 07:00:00+00:00,2.55,2.46914,3.275
63,MCD.N,2022-04-28 07:00:00+00:00,2.28,2.16848,5.143
64,MCD.N,2022-01-27 07:00:00+00:00,2.23,2.336,-4.538
65,MCD.N,2021-10-27 07:00:00+00:00,2.76,2.46078,12.16
66,HD.N,2023-02-21 06:00:00+00:00,3.3,3.27621,0.726
67,HD.N,2022-11-15 06:00:00+00:00,4.24,4.11822,2.957
68,HD.N,2022-08-16 06:00:00+00:00,5.05,4.94404,2.143
69,HD.N,2022-05-17 06:00:00+00:00,4.09,3.67635,11.252
70,HD.N,2022-02-22 06:00:00+00:00,3.21,3.17854,0.99
71,HD.N,2021-11-16 05:59:00+00:00,3.92,3.40137,15.248
72,SPG.N,2023-02-06 16:05:00+00:00,2.06,1.70333,20.94
73,SPG.N,2022-11-01 07:30:00+00:00,1.65,1.4375,14.783
74,SPG.N,2022-08-01 16:05:00+00:00,1.51,1.43,5.594
75,SPG.N,2022-05-09 16:05:00+00:00,1.3,1.29333,0.516
76,SPG.N,2022-02-07 16:05:00+00:00,1.53,1.44,6.25
77,SPG.N,2021-11-01 16:20:00+00:00,1.77,1.0875,62.759
78,HBAN.OQ,2023-01-20 07:00:00+00:00,0.42,0.40653,3.313
79,HBAN.OQ,2022-10-21 07:00:00+00:00,0.39,0.3835,1.695
80,HBAN.OQ,2022-07-21 07:00:00+00:00,0.35,0.34094,2.657
81,HBAN.OQ,2022-04-21 07:00:00+00:00,0.29,0.30435,-4.715
82,HBAN.OQ,2022-01-21 07:00:00+00:00,0.26,0.32412,-19.783
83,HBAN.OQ,2021-10-28 07:00:00+00:00,0.22,0.31765,-30.741
84,QRVO.OQ,2023-02-01 16:00:00+00:00,0.75,0.63521,18.071
85,QRVO.OQ,2022-11-02 16:00:00+00:00,2.66,2.5351,4.927
86,QRVO.OQ,2022-08-03 16:00:00+00:00,2.25,2.12041,6.112
87,QRVO.OQ,2022-05-04 16:00:00+00:00,3.12,2.925,6.667
88,QRVO.OQ,2022-02-02 16:00:00+00:00,2.98,2.75878,8.019
89,QRVO.OQ,2021-11-03 16:01:00+00:00,3.42,3.25474,5.078
90,LVS.N,2023-01-25 16:04:00+00:00,-0.19,-0.08782,-116.352
91,LVS.N,2022-10-19 16:10:00+00:00,-0.27,-0.2412,-11.94
92,LVS.N,2022-07-20 16:05:00+00:00,-0.34,-0.28746,-18.277
93,LVS.N,2022-04-27 16:18:00+00:00,-0.4,-0.23439,-70.66
94,LVS.N,2022-01-26 16:10:00+00:00,-0.22,-0.24464,10.072
95,LVS.N,2021-10-20 16:05:00+00:00,-0.45,-0.19682,-128.637
96,CTRA.N,2022-11-03 16:05:00+00:00,1.42,1.37209,3.492
97,CTRA.N,2022-08-02 16:02:00+00:00,1.35,1.22736,9.992
98,CTRA.N,2022-05-02 16:27:00+00:00,1.01,0.82971,21.729
99,CTRA.N,2022-02-23 16:44:00+00:00,0.83,1.02232,-18.812
100,CTRA.N,2021-11-03 06:30:00+00:00,0.52,0.78668,-33.899
101,CTRA.N,2021-07-30 07:30:00+00:00,0.26,0.2765,-5.968
102,ON.OQ,2023-02-06 08:00:00+00:00,1.32,1.26726,4.162
103,ON.OQ,2022-10-31 08:00:00+00:00,1.45,1.31289,10.443
104,ON.OQ,2022-08-01 08:00:00+00:00,1.34,1.2558,6.705
105,ON.OQ,2022-05-02 08:00:00+00:00,1.22,1.04822,16.388
106,ON.OQ,2022-02-07 08:00:00+00:00,1.09,0.93789,16.218
107,ON.OQ,2021-11-01 08:00:00+00:00,0.87,0.73896,17.733
108,AIG.N,2023-02-15 16:31:00+00:00,1.36,1.29206,5.258
109,AIG.N,2022-11-01 16:16:00+00:00,0.66,0.53221,24.011
110,AIG.N,2022-08-08 16:16:00+00:00,1.19,1.0965,8.527
111,AIG.N,2022-05-03 16:16:00+00:00,1.3,1.1814,10.039
112,AIG.N,2022-02-16 16:16:00+00:00,1.58,1.1892,32.862
113,AIG.N,2021-11-04 16:16:00+00:00,0.97,0.8825,9.915
114,AIZ.N,2023-02-07 16:30:00+00:00,3.23,2.71143,19.125
115,AIZ.N,2022-11-01 16:15:00+00:00,1.01,1.18,-14.407
116,AIZ.N,2022-08-02 16:15:00+00:00,2.95,3.15875,-6.609
117,AIZ.N,2022-05-03 16:24:00+00:00,3.75,2.87,30.662
118,AIZ.N,2022-02-08 16:15:00+00:00,2.47,2.3025,7.275
119,AIZ.N,2021-11-02 16:15:00+00:00,1.41,1.9,-25.79
120,CARR.N,2023-02-07 06:34:00+00:00,0.4,0.397,0.756
121,CARR.N,2022-10-27 06:30:00+00:00,0.7,0.65262,7.26
